Ticker,Name,Price,"GICS Sector
","GICS Ind Name
","ROIC LF
","ROE LF
","Free Cash Flow Margin
","T12M EBITDA Mrgn LF
","Net Mrgn 5Yr Avg LF
","OPM LF
","GM LF
","Interest Coverage Ratio
","Debt/Equity LF
","Debt/Assets LF
","Modified Working Capital Turnover LF
","Inv Turnover LF
","A/R Trnovr LF
","Cash Conversion Cycle LF
","Cash Ratio LF
","Quick Ratio LF
","Curr Ratio LF
"
VLO UN Equity,Valero Energy Corp,61.34,Energy,"Oil, Gas & Consumable Fuels",7.973065853,11.14331722,3.443039453,6.34484911,2.536696911,6.581387043,7.580516815,0,48.64217377,20.35125542,21.1333065,14.30225182,17.64042282,17.20820236,0.196276993,0.763069987,1.441413045
VMC UN Equity,Vulcan Materials Co,129.84,Materials,Construction Materials,8.481341362,11.41202164,12.17316822,26.48540688,11.94598961,16.31966209,24.70855331,0,56.9625473,30.07245064,5.102778912,8.276350975,9.440094948,--,0.507108986,1.500478983,2.575469017
VMI UN Equity,Valmont Industries Inc,117.28,Industrials,Construction & Engineering,9.451830864,14.16412544,7.596343445,12.34409046,4.950818062,8.051332474,24.99422264,0,76.8024826,32.15305328,4.237257957,5.472616196,5.740834236,93.25614929,0.688121021,1.622375011,2.702366114
VMW UN Equity,VMware Inc,121.38,Information Technology,Software,70.77332306,168.5978851,33.23466839,24.49677467,55.87191772,8.135373116,84.60787201,0,92.6523056,24.69765091,6.568677902,--,5.917316914,--,0.282352,0.464742005,0.648101985
VNCE UN Equity,Vince Holding Corp,9.3,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",3.850861073,3.545474052,0.181035379,10.52638817,1.383293033,10.48099613,50.39350128,0,186.5752258,44.03887558,4.551412106,2.473218918,9.003082275,116.5507584,0.0079,0.494051993,1.487735033
VNO UN Equity,Vornado Realty Trust,53.08,Real Estate,Equity Real Estate Investment Trusts (REITs),1.560091972,65.80747986,-15.06115239,38.76998901,138.9403687,21.07868767,--,2.85,96.40202332,43.22665024,--,--,--,--,--,--,--
VOYA UN Equity,Voya Financial Inc,53.17,Financials,Diversified Financial Services,9.274969101,-4.558815002,17.52273943,--,-3.560595036,5.91160202,--,0,29.74584579,1.800048947,--,--,--,--,--,--,--
VPG UN Equity,Vishay Precision Group Inc,27.01,Information Technology,"Electronic Equipment, Instruments & Components",8.958863258,9.651677132,6.950323639,15.12336254,7.070099831,2.541146994,34.95270538,0,18.42094421,12.02879429,2.785826921,2.6691401,5.986886024,176.9514618,0.979620993,1.449694991,2.393742085
VRNT UW Equity,Verint Systems Inc,53.57,Information Technology,Software,3.936948061,4.059863091,14.9270541,16.63562965,4.368784904,9.178217888,65.13280487,0,68.22072601,30.52751541,4.636580944,19.87301636,3.933747053,53.00951385,0.678873003,1.230388999,1.565250993
VRS UN Equity,Verso Corp,15.8,Materials,Paper & Forest Products,0.862533987,4.692081928,7.829977629,6.342061996,5.692837238,1.703577995,12.60647392,0,4.84429121,2.568806887,6.127251148,5.558638096,11.16849041,64.41590881,0.019416999,0.673138976,2.042071104
VRSK UW Equity,Verisk Analytics Inc,164.26,Industrials,Professional Services,9.811344147,20.77388382,28.36484983,41.2412262,18.58778572,30.52600479,61.6134758,0,150.3759766,48.18715286,9.068174362,--,7.960610867,--,0.123742998,0.365732998,0.499330014
VRSN UW Equity,VeriSign Inc,191.21,Information Technology,IT Services,216.3211365,--,57.9360717,69.21198273,51.62744522,63.94154739,85.04103851,0,--,96.91214752,--,--,218.5345917,--,1.262019992,1.265297055,1.324735045
VRTV UN Equity,Veritiv Corp,7.925,Industrials,Trading Companies & Distributors,0.381278008,-5.466506004,3.223490091,2.50019598,-0.217024997,0.642982006,19.3711853,0,230.0634155,49.1258812,6.917498112,10.0011282,7.321862221,52.71384811,0.051948,1.297060966,2.229118109
VRTX UW Equity,Vertex Pharmaceuticals Inc,237.04,Health Care,Biotechnology,17.58974075,22.37186241,35.88621754,31.47115898,57.04553223,39.02063751,86.9088974,0,11.06228447,8.092443466,7.325872898,3.753540993,7.98082304,81.63928223,2.853024006,3.327630997,3.613074064
VSAT UW Equity,ViaSat Inc,53.57,Information Technology,Communications Equipment,1.260380983,0.036894001,-14.95480738,18.25058556,-0.383893996,2.374775887,31.27958107,0,94.04876709,42.20011902,5.603147984,6.220197201,7.436652184,73.11463165,0.088739999,0.676477015,1.393455982
VSH UN Equity,Vishay Intertechnology Inc,18.27,Information Technology,"Electronic Equipment, Instruments & Components",10.03084469,11.43324566,5.239393548,16.83323288,7.377699852,3.966356993,22.20572662,0,40.18360519,19.15796661,4.288811207,4.382788181,7.358739853,96.15536499,1.542873979,2.173484087,3.274451017
VSLR UN Equity,Vivint Solar Inc,11.75,Industrials,Electrical Equipment,-14.04714012,-31.35242653,-130.247898,-22.63753891,-22.60202026,-42.34898758,34.09951019,0,352.4941406,54.92370224,--,16.81824684,13.89994335,-21.09273529,0.742725015,0.82020998,0.950159013
VST UN Equity,Vistra Energy Corp,20.66,Utilities,Independent Power and Renewable Electricity Producers,8.418953896,11.73050213,18.011686,32.84782791,4.945588112,11.67832184,49.12587357,0,135.4773865,40.51698303,16.39000702,13.03518677,9.632137299,6.352087021,0.065587997,0.39615199,0.899432003
VSTO UN Equity,Vista Outdoor Inc,6.76,Consumer Discretionary,Leisure Products,-2.10700202,-9.830321312,2.683130859,3.444367886,-24.45929909,4.395083904,20.90307617,0,100.4443359,39.22945786,3.175757885,3.871094942,5.812847137,125.9220886,0.131690994,1.428925037,2.896919966
VTR UN Equity,Ventas Inc,51.73,Real Estate,Equity Real Estate Investment Trusts (REITs),3.749988079,4.191474915,-2.091252986,48.56993103,10.4101162,12.09453011,--,4.9,114.703949,50.2586441,--,--,--,--,--,--,--
VVI UN Equity,Viad Corp,42.58,Industrials,Commercial Services & Supplies,4.476087093,5.23327589,2.332880123,8.71141243,0.681474984,-3.11047101,0.038277999,0,84.86649323,35.13262939,20.67279434,71.56095123,9.99404335,16.19228554,0.103788003,0.36896801,0.505607009
VVV UN Equity,Valvoline Inc,18.9,Materials,Chemicals,32.8096199,--,9.079497908,20,9.419527054,17.13344383,34.76111984,0,--,70.5703125,5.987730026,8.131979942,6.721763134,64.30949402,0.38479799,1.323040009,1.88598597
VZ UN Equity,Verizon Communications Inc,57.25,Communication Services,Diversified Telecommunication Services,12.05466843,33.63890457,13.50365517,39.07771301,12.8115406,19.09130096,55.05104065,0,211.8930511,45.6395874,6.880309105,39.68527985,5.21929121,29.32996178,0.057813998,0.624565005,0.835183024
W UN Equity,Wayfair Inc,60.92,Consumer Discretionary,Internet & Direct Marketing Retail,-92.12158203,--,-6.548638844,-6.743926048,-10.0087986,-12.05534744,22.78891945,0,--,80.25270844,--,129.4267426,121.4326096,-34.82801056,0.612469018,0.674347997,0.854559004
WAAS UN Equity,AquaVenture Holdings Ltd,26.995,Utilities,Water Utilities,-0.003755,-5.325249195,4.983242679,30.15654755,-9.974022865,5.58105278,49.99905777,0,86.51251221,43.82321548,6.460102081,6.617701054,8.772406578,74.61097717,2.654515028,3.246910095,4.085025787
