Ticker,Name,Price,"GICS Sector
","GICS Ind Name
","P/FCF LF
","P/B LF
","P/S LF
","P/E LF
"
J UN Equity,Jacobs Engineering Group Inc,97.11,Industrials,Construction & Engineering,--,1.983363032,0.932617009,15.82612419
JBHT UW Equity,JB Hunt Transport Services Inc,92.39,Industrials,Road & Rail,51.06293106,5.471277237,1.366516948,21.98752213
JCI UN Equity,Johnson Controls International plc,38.69,Industrials,Building Products,40.35919189,1.609107971,1.402430058,19.10630608
JKHY UW Equity,Jack Henry & Associates Inc,163.27,Information Technology,IT Services,27.87331581,7.516388893,6.880740166,39.29205704
JNJ UN Equity,Johnson & Johnson,139.99,Health Care,Pharmaceuticals,19.40620232,6.451681137,4.714449883,23.2770462
JNPR UN Equity,Juniper Networks Inc,21.44,Information Technology,Communications Equipment,20.1836338,1.794391036,1.899598956,21.85521889
JPM UN Equity,JPMorgan Chase & Co,113.04,Financials,Banks,43.55381393,1.834591031,3.15416503,13.21990108
JWN UN Equity,Nordstrom Inc,29.63,Consumer Discretionary,Multiline Retail,19.04598618,5.858442783,0.368465006,11.62775993
K UN Equity,Kellogg Co,63.39,Consumer Staples,Food Products,39.89625168,8.598876953,1.736909986,20.08611107
KEY UN Equity,KeyCorp,15.84,Financials,Banks,7.082147121,1.264436007,2.608445883,11.75247765
KEYS UN Equity,Keysight Technologies Inc,97.75,Information Technology,"Electronic Equipment, Instruments & Components",20.93050575,5.584753036,3.975025892,26.63425827
KHC UW Equity,Kraft Heinz Co/The,26.445,Consumer Staples,Food Products,13.86424255,0.747883976,1.545115948,10.96147156
KIM UN Equity,Kimco Realty Corp,17.735,Real Estate,Equity Real Estate Investment Trusts (REITs),69.30172729,2.04390502,7.512329102,28.67043114
KLAC UW Equity,KLA Corp,155.16,Information Technology,Semiconductors & Semiconductor Equipment,23.06458664,10.46751213,5.340857983,20.40265656
KMB UN Equity,Kimberly-Clark Corp,142.15,Consumer Staples,Household Products,30.88684273,--,2.559235096,21.09586906
KMI UN Equity,Kinder Morgan Inc/DE,19.42,Energy,"Oil, Gas & Consumable Fuels",19.97586632,1.421038985,3.627295017,22.46764183
KMX UN Equity,CarMax Inc,85.17,Consumer Discretionary,Specialty Retail,--,4.307864189,0.821756005,18.8488369
KO UN Equity,Coca-Cola Co/The,56.33,Consumer Staples,Beverages,28.11645699,12.48079681,6.350158215,26.00371552
KR UN Equity,Kroger Co/The,33.19,Consumer Staples,Food & Staples Retailing,15.34405327,2.430738926,0.175529003,12.23271084
KSS UN Equity,Kohl's Corp,34.06,Consumer Discretionary,Multiline Retail,8.290436745,1.228124022,0.335931987,8.752009392
KSU UN Equity,Kansas City Southern,153.305,Industrials,Road & Rail,31.82665443,3.332897902,5.305707932,22.86412048
L UN Equity,Loews Corp,45.34,Financials,Insurance,22.42528534,0.798839986,1.06438601,16.70168304
LB UN Equity,L Brands Inc,23.2,Consumer Discretionary,Specialty Retail,5.912990093,--,0.495247006,10.08332729
LDOS UN Equity,Leidos Holdings Inc,106.93,Information Technology,IT Services,16.40655136,4.109779835,1.286188006,23.48835182
LEG UN Equity,Leggett & Platt Inc,38.14,Consumer Discretionary,Household Durables,13.07015038,5.106245041,1.441733003,19.64799881
LEN UN Equity,Lennar Corp,64.63,Consumer Discretionary,Household Durables,13.39558601,1.181414962,0.851836979,10.27000618
LH UN Equity,Laboratory Corp of America Holdings,187.79,Health Care,Health Care Providers & Services,15.8040247,2.173031092,1.43275404,18.05823517
LHX UN Equity,L3Harris Technologies Inc,201.14,Industrials,Aerospace & Defense,23.65494156,2.032672882,2.911034107,22.78372574
LIN UN Equity,Linde PLC,196.32,Materials,Chemicals,45.8071785,2.315279961,4.081274986,28.97043991
LKQ UW Equity,LKQ Corp,28.075,Consumer Discretionary,Distributors,13.96179295,2.186181068,0.885448992,17.47159195
LLY UN Equity,Eli Lilly & Co,139.48,Health Care,Pharmaceuticals,31.70920372,48.27482605,5.477377892,22.64393234
LMT UN Equity,Lockheed Martin Corp,385.11,Industrials,Aerospace & Defense,18.84950829,34.86613464,1.835891962,15.06307983
LNC UN Equity,Lincoln National Corp,40.75,Financials,Insurance,--,0.616991997,0.685585022,8.887113571
LNT UW Equity,Alliant Energy Corp,56.63,Utilities,Electric Utilities,--,2.575866938,3.577733994,23.66166878
LOW UN Equity,Lowe's Cos Inc,107.3,Consumer Discretionary,Specialty Retail,32.7880249,44.9752121,1.252822995,19.59319878
LRCX UW Equity,Lam Research Corp,296.96,Information Technology,Semiconductors & Semiconductor Equipment,18.57387543,9.554005623,4.519624233,20.88730049
LUV UN Equity,Southwest Airlines Co,45.31,Industrials,Airlines,9.834719658,2.849786043,1.293269992,12.85203838
LVS UN Equity,Las Vegas Sands Corp,54.705,Consumer Discretionary,"Hotels, Restaurants & Leisure",29.15808487,10.16899204,3.87202096,21.30838585
LW UN Equity,Lamb Weston Holdings Inc,86.14,Consumer Staples,Food Products,26.56125832,60.19455719,3.085078955,24.21645546
LYB UN Equity,LyondellBasell Industries NV,73.43,Materials,Chemicals,14.36922359,3.916819096,0.959966004,9.846465111
LYV UN Equity,Live Nation Entertainment Inc,54.63,Communication Services,Entertainment,101.3343735,13.33003998,1.301156998,1569.286133
M UN Equity,Macy's Inc,11.53,Consumer Discretionary,Multiline Retail,7.006812096,0.772862971,0.195013002,6.309651852
MA UN Equity,Mastercard Inc,289.38,Information Technology,IT Services,39.03002548,51.02326965,17.97495842,38.29713058
MAA UN Equity,Mid-America Apartment Communities Inc,143,Real Estate,Equity Real Estate Investment Trusts (REITs),40.21570969,2.49206996,9.148402214,59.44086838
MAR UW Equity,Marriott International Inc/MD,109.1,Consumer Discretionary,"Hotels, Restaurants & Leisure",48.78023911,69.79135132,2.401429892,38.28840637
MAS UN Equity,Masco Corp,43.46,Industrials,Building Products,20.33712959,--,1.778625011,19.12194443
